Identifier,Internal Identifier,DOC (ppm)
1-I1_4__clay_50WFPS,Smith P 02017 - 1,52.1
1-I1_4__clay_50WFPS,Smith P 02017 - 1,51.6
2-I2_4__clay_50WFPS,Smith P 02017 - 2,53.2
2-I2_4__clay_50WFPS,Smith P 02017 - 2,53.2
3-I3_4__clay_50WFPS,Smith P 02017 - 3,57.3
3-I3_4__clay_50WFPS,Smith P 02017 - 3,57.6
4-I4_4__clay_50WFPS,Smith P 02017 - 4,54.6
4-I4_4__clay_50WFPS,Smith P 02017 - 4,54.5
5-I1_4__clay_100WFPS,Smith P 02017 - 5,38.4
5-I1_4__clay_100WFPS,Smith P 02017 - 5,38.3
6-I2_4__clay_100WFPS,Smith P 02017 - 6,41.9
6-I2_4__clay_100WFPS,Smith P 02017 - 6,42.2
7-I3_4__clay_100WFPS,Smith P 02017 - 7,54
7-I3_4__clay_100WFPS,Smith P 02017 - 7,54.6
8-I4_4__clay_100WFPS,Smith P 02017 - 8,49
8-I4_4__clay_100WFPS,Smith P 02017 - 8,49.2
9-I1_4___50WFPS,Smith P 02017 - 9,49.8
9-I1_4___50WFPS,Smith P 02017 - 9,49.9
10-I2_4___50WFPS,Smith P 02017 - 10,55.2
10-I2_4___50WFPS,Smith P 02017 - 10,55.2
11-I3_4___50WFPS,Smith P 02017 - 11,53
11-I3_4___50WFPS,Smith P 02017 - 11,53.3
12-I4_4___50WFPS,Smith P 02017 - 12,63.1
12-I4_4___50WFPS,Smith P 02017 - 12,63.6
13-I1_4___100WFPS,Smith P 02017 - 13,36.1
13-I1_4___100WFPS,Smith P 02017 - 13,36
14-I2_4___100WFPS,Smith P 02017 - 14,33.9
14-I2_4___100WFPS,Smith P 02017 - 14,34.1
15-I3_4___100WFPS,Smith P 02017 - 15,36.6
15-I3_4___100WFPS,Smith P 02017 - 15,36.9
16-I4_4___100WFPS,Smith P 02017 - 16,23.6
16-I4_4___100WFPS,Smith P 02017 - 16,23.8
17-I1_20__clay_50WFPS,Smith P 02017 - 17,61.2
17-I1_20__clay_50WFPS,Smith P 02017 - 17,62.4
18-I2_20__clay_50WFPS,Smith P 02017 - 18,57.3
18-I2_20__clay_50WFPS,Smith P 02017 - 18,57.8
19-I3_20__clay_50WFPS,Smith P 02017 - 19,56.1
19-I3_20__clay_50WFPS,Smith P 02017 - 19,56.6
20-I4_20__clay_50WFPS,Smith P 02017 - 20,53.9
20-I4_20__clay_50WFPS,Smith P 02017 - 20,54.5
21-I1_20__clay_100WFPS,Smith P 02017 - 21,39.5
21-I1_20__clay_100WFPS,Smith P 02017 - 21,40
22-I2_20__clay_100WFPS,Smith P 02017 - 22,40.9
22-I2_20__clay_100WFPS,Smith P 02017 - 22,42
23-I3_20__clay_100WFPS,Smith P 02017 - 23,37.2
23-I3_20__clay_100WFPS,Smith P 02017 - 23,38
24-I4_20__clay_100WFPS,Smith P 02017 - 24,45.9
24-I4_20__clay_100WFPS,Smith P 02017 - 24,46.7
25-I1_20___50WFPS,Smith P 02017 - 25,50.9
25-I1_20___50WFPS,Smith P 02017 - 25,51.5
26-I2_20___50WFPS,Smith P 02017 - 26,56.7
26-I2_20___50WFPS,Smith P 02017 - 26,57.4
27-I3_20___50WFPS,Smith P 02017 - 27,56.7
27-I3_20___50WFPS,Smith P 02017 - 27,57.8
28-I4_20___50WFPS,Smith P 02017 - 28,43.1
28-I4_20___50WFPS,Smith P 02017 - 28,43.6
29-I1_20___100WFPS,Smith P 02017 - 29,39.9
29-I1_20___100WFPS,Smith P 02017 - 29,40.3
30-I2_20___100WFPS,Smith P 02017 - 30,49.1
30-I2_20___100WFPS,Smith P 02017 - 30,49.5
31-I3_20___100WFPS,Smith P 02017 - 31,30.4
31-I3_20___100WFPS,Smith P 02017 - 31,29.7
32-I4_20___100WFPS,Smith P 02017 - 32,21
32-I4_20___100WFPS,Smith P 02017 - 32,20.5
65-F1_4__clay_50WFPS,Smith P 02017 - 65,40.1
65-F1_4__clay_50WFPS,Smith P 02017 - 65,40.6
66-F2_4__clay_50WFPS,Smith P 02017 - 66,49.4
66-F2_4__clay_50WFPS,Smith P 02017 - 66,50
67-F3_4__clay_50WFPS,Smith P 02017 - 67,37.5
67-F3_4__clay_50WFPS,Smith P 02017 - 67,38.1
68-F4_4__clay_50WFPS,Smith P 02017 - 68,36.8
68-F4_4__clay_50WFPS,Smith P 02017 - 68,37.4
69-F1_4__clay_100WFPS,Smith P 02017 - 69,25.8
69-F1_4__clay_100WFPS,Smith P 02017 - 69,26.1
70-F2_4__clay_100WFPS,Smith P 02017 - 70,28.5
70-F2_4__clay_100WFPS,Smith P 02017 - 70,29.1
71-F3_4__clay_100WFPS,Smith P 02017 - 71,31
71-F3_4__clay_100WFPS,Smith P 02017 - 71,31.4
72-F4_4__clay_100WFPS,Smith P 02017 - 72,28.5
72-F4_4__clay_100WFPS,Smith P 02017 - 72,28.9
73-F1_4___50WFPS,Smith P 02017 - 73,35.8
73-F1_4___50WFPS,Smith P 02017 - 73,36.4
74-F2_4___50WFPS,Smith P 02017 - 74,35.3
74-F2_4___50WFPS,Smith P 02017 - 74,35.9
75-F3_4___50WFPS,Smith P 02017 - 75,32.6
75-F3_4___50WFPS,Smith P 02017 - 75,33
76-F4_4___50WFPS,Smith P 02017 - 76,34.5
76-F4_4___50WFPS,Smith P 02017 - 76,35
77-F1_4___100WFPS,Smith P 02017 - 77,29.8
77-F1_4___100WFPS,Smith P 02017 - 77,30.4
78-F2_4___100WFPS,Smith P 02017 - 78,29
78-F2_4___100WFPS,Smith P 02017 - 78,29.6
79-F3_4___100WFPS,Smith P 02017 - 79,25.5
79-F3_4___100WFPS,Smith P 02017 - 79,25.8
80-F4_4___100WFPS,Smith P 02017 - 80,26
80-F4_4___100WFPS,Smith P 02017 - 80,26.4
81-F1_20__clay_50WFPS,Smith P 02017 - 81,31.4
81-F1_20__clay_50WFPS,Smith P 02017 - 81,31.9
82-F2_20__clay_50WFPS,Smith P 02017 - 82,27.9
82-F2_20__clay_50WFPS,Smith P 02017 - 82,28.3
83-F3_20__clay_50WFPS,Smith P 02017 - 83,35
83-F3_20__clay_50WFPS,Smith P 02017 - 83,35.4
84-F4_20__clay_50WFPS,Smith P 02017 - 84,29.7
84-F4_20__clay_50WFPS,Smith P 02017 - 84,30.1
85-F1_20__clay_100WFPS,Smith P 02017 - 85,20.7
85-F1_20__clay_100WFPS,Smith P 02017 - 85,21
86-F2_20__clay_100WFPS,Smith P 02017 - 86,21
86-F2_20__clay_100WFPS,Smith P 02017 - 86,21.4
87-F3_20__clay_100WFPS,Smith P 02017 - 87,20.1
87-F3_20__clay_100WFPS,Smith P 02017 - 87,20.4
88-F4_20__clay_100WFPS,Smith P 02017 - 88,21.2
88-F4_20__clay_100WFPS,Smith P 02017 - 88,21.5
89-F1_20___50WFPS,Smith P 02017 - 89,32.3
89-F1_20___50WFPS,Smith P 02017 - 89,32.8
90-F2_20___50WFPS,Smith P 02017 - 90,33.1
90-F2_20___50WFPS,Smith P 02017 - 90,33.5
91-F3_20___50WFPS,Smith P 02017 - 91,35.7
91-F3_20___50WFPS,Smith P 02017 - 91,36.2
92-F4_20___50WFPS,Smith P 02017 - 92,34.6
92-F4_20___50WFPS,Smith P 02017 - 92,35
93-F1_20___100WFPS,Smith P 02017 - 93,21
93-F1_20___100WFPS,Smith P 02017 - 93,21.1
94-F2_20___100WFPS,Smith P 02017 - 94,45.5
94-F2_20___100WFPS,Smith P 02017 - 94,46
95-F3_20___100WFPS,Smith P 02017 - 95,15.6
95-F3_20___100WFPS,Smith P 02017 - 95,15.9
96-F4_20___100WFPS,Smith P 02017 - 96,15
