"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
4,"illite-amended","50% WFPS",1,2016-09-09 12:40:00,2016-09-09,"t0",0,547,528,0.131250424467079
4,"illite-amended","50% WFPS",2,2016-09-09 12:44:00,2016-09-09,"t0",0,510,500,0.111247659096245
4,"illite-amended","50% WFPS",3,2016-09-09 12:48:00,2016-09-09,"t0",0,477,549,0.0953785077251627
4,"illite-amended","50% WFPS",4,2016-09-09 12:52:00,2016-09-09,"t0",0,478,660,0.0882262732319841
4,"non-amended","50% WFPS",9,2016-09-09 12:59:00,2016-09-09,"t0",0,546,814,0.0888206634140307
4,"illite-amended","100% WFPS",5,2016-09-09 13:01:00,2016-09-09,"t0",0,336,330,0.0528667757016677
4,"illite-amended","100% WFPS",6,2016-09-09 13:04:00,2016-09-09,"t0",0,325,308,0.0487390173123866
4,"illite-amended","100% WFPS",7,2016-09-09 13:08:00,2016-09-09,"t0",0,353,454,0.0498240669285719
4,"illite-amended","100% WFPS",8,2016-09-09 13:10:00,2016-09-09,"t0",0,367,308,0.0503200896102566
4,"non-amended","50% WFPS",10,2016-09-09 13:14:00,2016-09-09,"t0",0,835,855,0.108299920381453
4,"non-amended","50% WFPS",11,2016-09-09 13:15:00,2016-09-09,"t0",0,1023,898,0.130914500163142
4,"non-amended","50% WFPS",12,2016-09-09 13:17:00,2016-09-09,"t0",0,914,954,0.113927574693521
4,"non-amended","100% WFPS",13,2016-09-09 13:23:00,2016-09-09,"t0",0,673,638,0.0778234273838412
4,"non-amended","100% WFPS",14,2016-09-09 13:25:00,2016-09-09,"t0",0,635,706,0.0717014900841771
4,"non-amended","100% WFPS",15,2016-09-09 13:30:00,2016-09-09,"t0",0,719,765,0.0766760554067276
4,"non-amended","100% WFPS",16,2016-09-09 13:33:00,2016-09-09,"t0",0,754,718,0.0778147235542276
20,"illite-amended","50% WFPS",17,2016-09-09 13:41:00,2016-09-09,"t0",0,1651,1264,0.148323931959689
20,"illite-amended","50% WFPS",18,2016-09-09 13:44:00,2016-09-09,"t0",0,1614,1728,0.140817205449359
20,"illite-amended","50% WFPS",19,2016-09-09 13:47:00,2016-09-09,"t0",0,1620,1671,0.137377866414828
20,"illite-amended","50% WFPS",20,2016-09-09 13:50:00,2016-09-09,"t0",0,1316,1830,0.108554725732911
20,"illite-amended","100% WFPS",21,2016-09-09 13:54:00,2016-09-09,"t0",0,449,466,0.035737734655445
20,"illite-amended","100% WFPS",22,2016-09-09 13:57:00,2016-09-09,"t0",0,795,485,0.0616547863594879
20,"illite-amended","100% WFPS",23,2016-09-09 14:03:00,2016-09-09,"t0",0,1134,486,0.0836553023940701
