"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","Gibbs","DBE_AI","DBE_C","KM","KMD","C","H","O","N","S","P"
200.0675149,"C7H11O4N3","CHON","AminoSugar",1.57,0.57,-0.5,0.8571,35.87265,-3,-0.428571428571429,199.844117725543,-0.844117725542503,7,11,4,3,0,0
200.1095887,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.886144545562,-0.886144545561535,0,0,0,0,0,0
200.1197023,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.896246852625,-0.896246852625438,0,0,0,0,0,0
200.1233078,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.899848326692,-0.899848326691938,0,0,0,0,0,0
200.1470271,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.92354114151,-0.923541141509673,0,0,0,0,0,0
200.1573013,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.933803869246,-0.933803869246162,0,0,0,0,0,0
200.2040322,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.980482589106,-0.980482589105748,0,0,0,0,0,0
200.217365,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.993800501582,-0.993800501582143,0,0,0,0,0,0
200.220824,"","","None",NA,NA,Inf,NA,NA,NA,NA,199.997255639232,-0.997255639231838,0,0,0,0,0,0
200.269373,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.045750428985,-0.0457504289847463,0,0,0,0,0,0
200.2794148,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.055781016221,-0.0557810162211467,0,0,0,0,0,0
200.2962039,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.072551369362,-0.0725513693620883,0,0,0,0,0,0
200.3054981,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.081835191375,-0.0818351913753474,0,0,0,0,0,0
200.3098119,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.086144174548,-0.0861441745477407,0,0,0,0,0,0
200.3337956,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.110101094134,-0.110101094134052,0,0,0,0,0,0
200.3623043,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.138577961065,-0.138577961064954,0,0,0,0,0,0
200.4069888,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.183212565953,-0.183212565953056,0,0,0,0,0,0
200.425424,"","","None",NA,NA,Inf,NA,NA,NA,NA,200.201627181044,-0.201627181044017,0,0,0,0,0,0
