"formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
"C7H11O4N3","CHON","AminoSugar",1.57,0.57,-0.5,0.8571,7,11,4,3,0,0
"C10H18O4","CHO","Protein",1.8,0.4,0,-1,10,18,4,0,0,0
"C7H8O1S3","CHOS","Lignin",1.14,0.14,0.1429,0,7,8,1,0,3,0
"C9H16O5","CHO","AminoSugar",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0
"C12H16O1N2","CHON","UnsatHC",1.33,0.08,0.3684,-0.6667,12,16,1,2,0,0
"C8H14O6","CHO","Carb",1.75,0.75,-0.2,-0.25,8,14,6,0,0,0
"C5H4O3S2P1","CHOSP","Lignin",0.8,0.6,0,1.2,5,4,3,0,2,1
"C8H3O4N1P1","CHONP","ConHC",0.38,0.5,1.125,1,8,3,4,1,0,1
"C9H6O2S2","CHOS","ConHC",0.67,0.22,0.6667,0.2222,9,6,2,0,2,0
"C9H11O3N1P1","CHONP","Lignin",1.22,0.33,0.3636,-0.2222,9,11,3,1,0,1
"C6H3O2N3S2","CHONS","ConHC",0.5,0.33,Inf,2.3333,6,3,2,3,2,0
"C6H2O5N2P1","CHONP","ConHC",0.33,0.83,4,2.3333,6,2,5,2,0,1
"C7H2O4S2","CHOS","ConHC",0.29,0.57,1,1.4286,7,2,4,0,2,0
"C10H14O5","CHO","Lignin",1.4,0.5,0.2,-0.4,10,14,5,0,0,0
"C8H9O2N1S2","CHONS","Lignin",1.12,0.25,0.25,0.25,8,9,2,1,2,0
"C7H8O4N2S1","CHONS","Lignin",1.14,0.57,0,1.1429,7,8,4,2,1,0
"C15H4O2","CHO","ConHC",0.27,0.13,0.9286,0,15,4,2,0,0,0
"C8H8O7","CHO","Tannin",1,0.88,0.3333,0.75,8,8,7,0,0,0
"C11H20O4","CHO","Protein",1.82,0.36,0,-1.0909,11,20,4,0,0,0
"C15H20O1","CHO","UnsatHC",1.33,0.07,0.3793,-1.2,15,20,1,0,0,0
"C14H6O1N2","CHON","ConHC",0.43,0.07,0.913,0.1429,14,6,1,2,0,0
"C9H14O6","CHO","AminoSugar",1.56,0.67,0,-0.2222,9,14,6,0,0,0
"C10H18O5","CHO","Protein",1.8,0.5,-0.0667,-0.8,10,18,5,0,0,0
"C11H9O2N1S1","CHONS","Lignin",0.82,0.18,0.625,0,11,9,2,1,1,0
"C8H13O2N1S2","CHONS","Lipid",1.62,0.25,-0.25,-0.25,8,13,2,1,2,0
